family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:3853	269	26	5	31	['ncbitaxon:49829', 'ncbitaxon:3854', 'ncbitaxon:154493', 'ncbitaxon:313088', 'ncbitaxon:1276781', 'ncbitaxon:313121', 'ncbitaxon:3857', 'ncbitaxon:313096', 'ncbitaxon:1276774', 'ncbitaxon:1276761', 'ncbitaxon:3856', 'ncbitaxon:3862', 'ncbitaxon:254779', 'ncbitaxon:313083', 'ncbitaxon:3855', 'ncbitaxon:313104', 'ncbitaxon:3859', 'ncbitaxon:3858', 'ncbitaxon:1276777', 'ncbitaxon:313081', 'ncbitaxon:313117', 'ncbitaxon:546224', 'ncbitaxon:3861', 'ncbitaxon:29752', 'ncbitaxon:313078', 'ncbitaxon:154494', 'ncbitaxon:313095', 'ncbitaxon:1276771', 'ncbitaxon:313120', 'ncbitaxon:1276764', 'ncbitaxon:3860']
ncbitaxon:40726	18	16	1	1	['ncbitaxon:40727']
ncbitaxon:3731	17	1	4	9	['ncbitaxon:402674', 'ncbitaxon:264416', 'ncbitaxon:402662', 'ncbitaxon:180535', 'ncbitaxon:3732', 'ncbitaxon:402667', 'ncbitaxon:308285', 'ncbitaxon:308281', 'ncbitaxon:230966']
ncbitaxon:85218	1	0	0	1	['ncbitaxon:85219']
ncbitaxon:76971	60	7	0	3	['ncbitaxon:1226109', 'ncbitaxon:76972', 'ncbitaxon:1487147']
ncbitaxon:1898724	48	8	0	1	['ncbitaxon:1898725']
ncbitaxon:23276	1	0	0	1	['ncbitaxon:29777']
ncbitaxon:114815	161	22	0	8	['ncbitaxon:167387', 'ncbitaxon:114816', 'ncbitaxon:425823', 'ncbitaxon:167390', 'ncbitaxon:425820', 'ncbitaxon:115717', 'ncbitaxon:1045282', 'ncbitaxon:167391']
ncbitaxon:191955	8	4	0	1	['ncbitaxon:191956']
ncbitaxon:16070	4	2	0	1	['ncbitaxon:34185']
ncbitaxon:94682	15	0	0	1	['ncbitaxon:98731']
ncbitaxon:1641145	1	0	0	1	['ncbitaxon:1641146']
ncbitaxon:2676103	16	0	0	1	['ncbitaxon:2676109']
ncbitaxon:119183	1	1	0	1	['ncbitaxon:119184']
ncbitaxon:82221	1	0	0	1	['ncbitaxon:82222']
ncbitaxon:449658	2	0	0	1	['ncbitaxon:381256']
ncbitaxon:1542363	6	1	0	1	['ncbitaxon:1542365']
ncbitaxon:67427	2	0	0	2	['ncbitaxon:1899414', 'ncbitaxon:67428']
ncbitaxon:553502	13	0	0	1	['ncbitaxon:1231571']
ncbitaxon:162768	6	2	0	4	['ncbitaxon:1548977', 'ncbitaxon:162769', 'ncbitaxon:1548976', 'ncbitaxon:327902']
ncbitaxon:26768	16	1	0	1	['ncbitaxon:29742']
ncbitaxon:2135800	44	28	0	4	['ncbitaxon:1540384', 'ncbitaxon:1045232', 'ncbitaxon:252851', 'ncbitaxon:1076729']
ncbitaxon:21563	59	11	2	2	['ncbitaxon:245205', 'ncbitaxon:28974']
ncbitaxon:191157	89	21	0	9	['ncbitaxon:2604036', 'ncbitaxon:2604038', 'ncbitaxon:2604039', 'ncbitaxon:2604035', 'ncbitaxon:2060405', 'ncbitaxon:2604040', 'ncbitaxon:2604028', 'ncbitaxon:2604031', 'ncbitaxon:2604033']
ncbitaxon:235746	29	16	0	1	['ncbitaxon:235747']
ncbitaxon:341010	16	6	0	1	['ncbitaxon:461630']
ncbitaxon:41235	3	0	0	1	['ncbitaxon:41236']
