fam_name	# chemicals	# level specific chemicals	# med plants
Casuarinaceae	0.8551	0.1304	0.0145
Dictyochloridaceae	0.6667	0.0	0.3333
Chlamydomonadaceae	0.9536	0.0429	0.0036
Celastraceae	0.7026	0.2902	0.0072
Hymenophyllaceae	0.6322	0.3678	0.0
Frankeniaceae	0.5	0.5	0.0
Hydrangeaceae	0.7981	0.1784	0.0235
Surianaceae	1.0	0.0	0.0
Juncaceae	0.6374	0.345	0.0175
Metzgeriaceae	0.7805	0.2195	0.0
Mayacaceae	1.0	0.0	0.0
Hypericaceae	0.7496	0.2406	0.0097
Malvaceae	0.8037	0.1643	0.032
Physenaceae	0.5	0.5	0.0
Lamiaceae	0.7099	0.2763	0.0138
Taxaceae	0.6459	0.3484	0.0058
Primulaceae	0.7678	0.2167	0.0155
Makinoaceae	0.6316	0.3684	0.0
Pontederiaceae	0.7222	0.2667	0.0111
Paracryphiaceae	0.6	0.4	0.0
Fagaceae	0.9379	0.0444	0.0177
Anacardiaceae	0.8748	0.1024	0.0228
Alismataceae	0.7013	0.2825	0.0162
Haloragaceae	0.8571	0.0714	0.0714
Pleuroziaceae	1.0	0.0	0.0
Buxaceae	0.6724	0.3196	0.008
Lejeuneaceae	0.5865	0.4135	0.0
Aptandraceae	0.8667	0.1333	0.0
Lennoaceae	1.0	0.0	0.0
Chrysobalanaceae	0.8487	0.1261	0.0252
Cladophoraceae	0.8438	0.1562	0.0
Codiaceae	0.9481	0.039	0.013
Sarcolaenaceae	0.85	0.15	0.0
Salvadoraceae	0.8906	0.0781	0.0312
Asteliaceae	1.0	0.0	0.0
Gomortegaceae	1.0	0.0	0.0
Hydrodictyaceae	1.0	0.0	0.0
Simmondsiaceae	0.8317	0.1584	0.0099
Juncaginaceae	0.9868	0.0	0.0132
Cystopteridaceae	0.9825	0.0175	0.0
Chlorodendraceae	1.0	0.0	0.0
Arecaceae	0.8489	0.1253	0.0258
Lophoziaceae	0.9846	0.0154	0.0
Asteromonadaceae	0.5	0.5	0.0
Strombosiaceae	0.7273	0.2727	0.0
Dipentodontaceae	0.8966	0.1034	0.0
Bryopsidaceae	0.6111	0.3889	0.0
Limeaceae	1.0	0.0	0.0
Haematococcaceae	0.9865	0.0	0.0135
Caryocaraceae	0.6667	0.3333	0.0
Dumortieraceae	0.8914	0.1029	0.0057
Stilbaceae	0.9583	0.0	0.0417
Picrodendraceae	0.88	0.12	0.0
Lophocoleaceae	0.6545	0.3455	0.0
Gelsemiaceae	0.5607	0.431	0.0084
Zygophyllaceae	0.7254	0.2358	0.0389
Asaraceae	0.867	0.1159	0.0172
Austrobaileyaceae	1.0	0.0	0.0
Colchicaceae	0.8402	0.1533	0.0065
Myodocarpaceae	1.0	0.0	0.0
Moringaceae	0.7512	0.2297	0.0191
Sphenocleaceae	0.9251	0.0749	0.0
Sabiaceae	0.7831	0.2169	0.0
Solanaceae	0.7479	0.2372	0.0149
Schistochilaceae	0.7778	0.2222	0.0
Orobanchaceae	0.8205	0.1671	0.0125
Talinaceae	0.5	0.4	0.1
Leucobryaceae	1.0	0.0	0.0
Ulmaceae	0.8659	0.1034	0.0307
Erythropalaceae	0.6667	0.3333	0.0
Hypoxidaceae	0.7262	0.268	0.0058
Viscaceae	0.8129	0.1645	0.0226
Oxalidaceae	0.759	0.1988	0.0422
Myrothamnaceae	0.8	0.0	0.2
Fontinalaceae	0.6667	0.3333	0.0
Polytrichaceae	0.68	0.3	0.02
Stachyuraceae	0.9038	0.0962	0.0
Aneuraceae	0.6471	0.3529	0.0
Humiriaceae	0.6	0.4	0.0
Selenastraceae	0.6667	0.3333	0.0
Cucurbitaceae	0.7653	0.2136	0.0211
Characeae	0.9762	0.0238	0.0
Nothofagaceae	0.9732	0.0268	0.0
Ephedraceae	0.8991	0.0865	0.0144
Trimeniaceae	1.0	0.0	0.0
Velloziaceae	0.7049	0.2951	0.0
Myliaceae	0.525	0.475	0.0
Aizoaceae	0.9388	0.0408	0.0204
Aspleniaceae	0.8852	0.0926	0.0222
Acoraceae	0.7981	0.1946	0.0073
Polyphysaceae	1.0	0.0	0.0
Haplomitriaceae	0.5	0.5	0.0
Vitaceae	0.8654	0.1064	0.0282
Aphloiaceae	0.6	0.2	0.2
Vochysiaceae	0.7391	0.2174	0.0435
Melanthiaceae	0.7084	0.2731	0.0185
Pinaceae	0.7938	0.1886	0.0176
Plumbaginaceae	0.8373	0.1446	0.0181
Connaraceae	0.625	0.25	0.125
Trochodendraceae	0.96	0.04	0.0
Malpighiaceae	0.7716	0.2037	0.0247
Caulerpaceae	0.7581	0.2312	0.0108
Petiveriaceae	0.8113	0.1698	0.0189
Erythroxylaceae	0.6473	0.345	0.0078
Schisandraceae	0.6368	0.3569	0.0063
Cervantesiaceae	0.8491	0.1509	0.0
Saxifragaceae	0.8648	0.1254	0.0098
Polyblepharidaceae	0.8	0.2	0.0
Sapotaceae	0.8442	0.1284	0.0274
Francoaceae	0.9574	0.0355	0.0071
Tamaricaceae	0.8986	0.0918	0.0097
Nelumbonaceae	0.8986	0.0994	0.0019
Putranjivaceae	0.904	0.08	0.016
Cyatheaceae	0.875	0.125	0.0
Psilotaceae	0.9875	0.0125	0.0
Phyllanthaceae	0.7478	0.2263	0.0258
Escalloniaceae	0.9636	0.0182	0.0182
Sarraceniaceae	0.881	0.0714	0.0476
Tropaeolaceae	0.9589	0.0137	0.0274
Pentaphylacaceae	0.802	0.1683	0.0297
Rafflesiaceae	1.0	0.0	0.0
Molluginaceae	0.7152	0.2595	0.0253
Marchantiaceae	0.8884	0.1073	0.0043
Targioniaceae	0.875	0.125	0.0
Cycadaceae	0.8687	0.101	0.0303
